# Reconstructed CPU request cycles (fit_2026.cc --trellis).
# Per capture: phi is the pin delay used, eps the per-edge tolerance.
# edge  t2 (/CSx rise, VDP cycles)  T (cycle the arbiter saw it)  slot (RAS granted)  dev
# dev = T - floor(t2 + phi), non-zero only for an edge that the
# tolerance let tip to the neighbouring cycle. Only captures whose
# reconstruction reproduced the .txt exactly are listed.

capture scr5-dispOff-stop-rdwrCpu-1g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 11.03026  eps 0.00000  edges 115  grants 113  pre-capture request no
  47   3870.615    3881     3900     0
  48   3942.066    3953     4004     0
  49   4013.516    4024     4044     0
  50   4085.233    4096     4112     0
  51   4156.683    4167     4184     0
  52   4228.268    4239     4268     0
  53   4299.584    4310     4332     0
  54   4371.301    4382     4404     0
  55   4442.751    4453     4476     0
  56   4514.468    4525     4548     0
  57   4585.918    4596     4612     0
  58   4657.503    4668     4684     0
  59   4728.819    4739     4756     0
  60   4800.536    4811     4828     0
  61   4871.986    4883     4908     0
  62   4943.703    4954     4972     0
  63   5015.153    5026     5044     0
  64   5086.604    5097     5116     0
  65   5158.054    5169     5188     0
  66   5229.771    5240     5260     0
  67   5301.221    5312     5332     0
  68   5551.698    5562     5584     0
  69   5623.014    5634     5652     0
  70   5694.731    5705     5724     0
  71   5766.181    5777     5796     0
  72   5837.766    5848     5868     0
  73   5909.082    5920     5940     0
  74   5980.799    5991     6020     0
  75   6052.249    6063     6084     0
  76   6123.966    6134     6156     0
  77   6195.416    6206     6228     0
  78   6267.001    6278     6300     0
  79   6338.317    6349     6372     0
  80   6410.034    6421     6444     0
  81   6481.484    6492     6508     0
  82   6553.201    6564     6580     0
  83   6624.652    6635     6660     0
  84   6696.102    6707     6740     0
  85   6767.552    6778     6796     0
  86   6839.269    6850     6872     0
  87   6910.719    6921     6944     0
  88   6982.304    6993     7012     0
  89   7053.927    7064     7084     0
  90   7125.337    7136     7156     0
  91   7196.787    7207     7228     0
  92   7268.504    7279     7300     0
  93   7339.954    7350     7372     0
  94   7411.539    7422     7444     0
  95   7482.855    7493     7516     0
  96   7554.572    7565     7588     0
  97   7626.022    7637     7660     0
  98   7697.739    7708     7724     0
  99   7769.190    7780     7796     0
 100   7840.640    7851     7868     0
 101   7912.090    7923     7940     0
 102   7983.807    7994     8012     0
 103   8055.257    8066     8108     0
 104   8126.842    8137     8156     0
 105   8198.158    8209     8232     0
 106   8269.875    8281     8304     1
 107   8341.325    8352     8372     0
 108   8591.802    8602     8628     0
 109   8663.425    8674     8692     0
 110   8734.835    8745     8764     0
 111   8806.286    8817     8836     0
 112   8878.002    8889     8908     0
 113   8949.453    8960     8980     0
 114   9021.037    9032     9052     0

capture scr5-dispOff-stop-rdwrCpu-6g.txt  mode dispOff  key v7_n16_o0,0,0_q1_t2:-1
  phi 10.95032  eps 0.06250  edges 114  grants 114  pre-capture request no
   0    559.417     570      588     0
   1    631.002     641      660     0
   2    702.625     713      732     0
   3    774.035     784      804     0
   4    845.486     856      876     0
   5    917.203     928      948     0
   6    988.653     999     1020     0
   7   1060.238    1071     1092     0
   8   1131.554    1142     1164     0
   9   1203.271    1214     1268     0
  10   1274.721    1285     1308     0
  11   1346.438    1357     1376     0
  12   1417.889    1428     1448     0
  13   1489.473    1500     1532     0
  14   1560.789    1571     1588     0
  15   1632.506    1643     1660     0
  16   1703.957    1714     1732     0
  17   1775.541    1786     1804     0
  18   1847.124    1858     1876     0
  19   1918.574    1929     1948     0
  20   1990.025    2000     2020     0
  21   2061.742    2072     2092     0
  22   2133.192    2144     2172     0
  23   2204.777    2215     2236     0
  24   2276.093    2287     2308     0
  25   2347.810    2358     2380     0
  26   2419.260    2430     2452     0
  27   2669.738    2680     2702     0
  28   2741.054    2752     2768     0
  29   2812.771    2823     2840     0
  30   2884.221    2895     2916     0
  31   2955.938    2966     2988     0
  32   3027.389    3038     3060     0
  33   3098.973    3109     3132     0
  34   3170.289    3181     3204     0
  35   3242.006    3253     3284     1
  36   3313.457    3324     3340     0
  37   3385.041    3395     3412     0
  38   3456.664    3467     3484     0
  39   3528.074    3539     3556     0
  40   3599.525    3610     3628     0
  41   3671.242    3682     3700     0
  42   3742.692    3753     3772     0
  43   3814.277    3825     3844     0
  44   3885.593    3896     3924     0
  45   3957.310    3968     4004     0
  46   4028.760    4039     4060     0
  47   4100.477    4111     4128     0
  48   4171.928    4182     4200     0
  49   4243.512    4254     4276     0
  50   4314.829    4325     4348     0
  51   4386.546    4397     4420     0
  52   4457.996    4469     4492     1
  53   4529.581    4540     4556     0
  54   4601.163    4612     4628     0
  55   4672.614    4683     4700     0
  56   4744.064    4755     4780     0
  57   4815.781    4826     4844     0
  58   4887.232    4898     4916     0
  59   4958.816    4969     4988     0
  60   5030.132    5041     5060     0
  61   5101.849    5112     5132     0
  62   5173.300    5184     5204     0
  63   5245.017    5255     5276     0
